"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through December 2016",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2016,1,AR,"Electric Generators, Independent Power Producers",Natural Gas,360439
2016,1,AR,"Electric Generators, Independent Power Producers",Petroleum,584
2016,1,AR,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,1391
2016,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,6161
2016,1,AR,"Electric Generators, Electric Utilities",Total,4068090
2016,1,AR,"Electric Generators, Electric Utilities",Coal,1503010
2016,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,12681
2016,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,475286
2016,1,AR,"Electric Generators, Electric Utilities",Natural Gas,684955
2016,1,AR,"Electric Generators, Electric Utilities",Nuclear,1386411
2016,1,AR,"Electric Generators, Electric Utilities",Petroleum,5747
2016,1,AZ,Total Electric Power Industry,Total,8592680
2016,1,AZ,Total Electric Power Industry,Coal,2664710
2016,1,AZ,Total Electric Power Industry,Pumped Storage,-688
2016,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,617293
2016,1,AZ,Total Electric Power Industry,Natural Gas,2037208
2016,1,AZ,Total Electric Power Industry,Nuclear,3002325
2016,1,AZ,Total Electric Power Industry,Petroleum,2536
2016,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,206059
2016,1,AZ,Total Electric Power Industry,Other Biomass,3720
2016,1,AZ,Total Electric Power Industry,Wind,42394
2016,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,17123
2016,1,AZ,"Combined Heat and Power, Commercial Power",Total,12203
2016,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,11171
2016,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,2
2016,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,1030
2016,1,AZ,"Combined Heat and Power, Electric Power",Total,259
2016,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,259
2016,1,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,AZ,"Electric Generators, Independent Power Producers",Total,981145
2016,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas,741588
2016,1,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,176319
2016,1,AZ,"Electric Generators, Independent Power Producers",Other Biomass,3720
2016,1,AZ,"Electric Generators, Independent Power Producers",Wind,42394
2016,1,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,17123
2016,1,AZ,"Electric Generators, Electric Utilities",Total,7599074
2016,1,AZ,"Electric Generators, Electric Utilities",Coal,2664710
2016,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,-688
2016,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,617293
2016,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,1284190
2016,1,AZ,"Electric Generators, Electric Utilities",Nuclear,3002325
2016,1,AZ,"Electric Generators, Electric Utilities",Petroleum,2534
2016,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,28710
2016,1,AZ,"Electric Generators, Electric Utilities",Other Biomass,0
2016,1,CA,Total Electric Power Industry,Total,14894445
2016,1,CA,Total Electric Power Industry,Coal,29285
2016,1,CA,Total Electric Power Industry,Geothermal,1027898
2016,1,CA,Total Electric Power Industry,Pumped Storage,-98440
2016,1,CA,Total Electric Power Industry,Hydroelectric Conventional,1090269
2016,1,CA,Total Electric Power Industry,Natural Gas,8918847
2016,1,CA,Total Electric Power Industry,Nuclear,1690198
2016,1,CA,Total Electric Power Industry,Other Gases,155733
2016,1,CA,Total Electric Power Industry,Other,66807
2016,1,CA,Total Electric Power Industry,Petroleum,3336
2016,1,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,770435
2016,1,CA,Total Electric Power Industry,Other Biomass,253532
2016,1,CA,Total Electric Power Industry,Wind,721428
2016,1,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,265118
2016,1,CA,"Combined Heat and Power, Industrial Power",Total,1282690
2016,1,CA,"Combined Heat and Power, Industrial Power",Coal,29285
2016,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas,998264
2016,1,CA,"Combined Heat and Power, Industrial Power",Other Gases,155733
2016,1,CA,"Combined Heat and Power, Industrial Power",Other,53684
2016,1,CA,"Combined Heat and Power, Industrial Power",Petroleum,121
2016,1,CA,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,456
2016,1,CA,"Combined Heat and Power, Industrial Power",Other Biomass,421
2016,1,CA,"Combined Heat and Power, Industrial Power",Wind,301
2016,1,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,44425
