"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through December 2016",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2016,1,AR,"Combined Heat and Power, Electric Power",Total,"125,037"
2016,1,AR,"Combined Heat and Power, Electric Power",Natural Gas,"121,108"
2016,1,AR,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,AR,"Combined Heat and Power, Electric Power",Other Biomass,"3,929"
2016,1,AR,"Electric Generators, Independent Power Producers",Total,"776,622"
2016,1,AR,"Electric Generators, Independent Power Producers",Coal,"401,483"
2016,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"6,564"
2016,1,AR,"Electric Generators, Independent Power Producers",Natural Gas,"360,439"
2016,1,AR,"Electric Generators, Independent Power Producers",Petroleum,584
2016,1,AR,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"1,391"
2016,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,"6,161"
2016,1,AR,"Electric Generators, Electric Utilities",Total,"4,068,090"
2016,1,AR,"Electric Generators, Electric Utilities",Coal,"1,503,010"
2016,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,"12,681"
2016,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"475,286"
2016,1,AR,"Electric Generators, Electric Utilities",Natural Gas,"684,955"
2016,1,AR,"Electric Generators, Electric Utilities",Nuclear,"1,386,411"
2016,1,AR,"Electric Generators, Electric Utilities",Petroleum,"5,747"
2016,1,AZ,Total Electric Power Industry,Total,"8,592,680"
2016,1,AZ,Total Electric Power Industry,Coal,"2,664,710"
2016,1,AZ,Total Electric Power Industry,Pumped Storage,-688
2016,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,"617,293"
2016,1,AZ,Total Electric Power Industry,Natural Gas,"2,037,208"
2016,1,AZ,Total Electric Power Industry,Nuclear,"3,002,325"
2016,1,AZ,Total Electric Power Industry,Petroleum,"2,536"
2016,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,"206,059"
2016,1,AZ,Total Electric Power Industry,Other Biomass,"3,720"
2016,1,AZ,Total Electric Power Industry,Wind,"42,394"
2016,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,"17,123"
2016,1,AZ,"Combined Heat and Power, Commercial Power",Total,"12,203"
2016,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,"11,171"
